Video ID,Comment
xlnPHQ3TLX8,"I love how that one skeleton's jaw LITERALLY DROPPED to the ground. Nice play on an expression, Pixar"
xlnPHQ3TLX8,"To people who say ""The book of life creator support this movie! It's not a bad thing""

Of course they support this movie
I heard creator of the book of life and one of Coco creator are friends so they made this together

And think about it..The book of life studio is not as big as Pixar, so it's a really great opportunity for them to spread that plot, idea worldwide 

But I still think Pixar could at least try to be more original

I think this movie was just to help ""The book of life"" creators..
And that's not a bad thing but..still..."
xlnPHQ3TLX8,"obviously, he broke the wall"
xlnPHQ3TLX8,"I'm in love with the coco (coco, coco)
I'm in love with the coco (coco, coco)
I got it for the low low
I'm in love with the coco (coco, coco)"
xlnPHQ3TLX8,"Wow, never seen the Spirit World like this! I love the Disney way."
xlnPHQ3TLX8,"the woman saying ""please have a safe journey"" at 0:09 has such a familiar voice but I can't put my finger on who she is >:( someone pls help me"
xlnPHQ3TLX8,"""I'm in love with the..."""
xlnPHQ3TLX8,That Skeleton cop has an insane jaw drop!!
xlnPHQ3TLX8,This must be a different version of Book of life
xlnPHQ3TLX8,can't wait
xlnPHQ3TLX8,Where's El chapo
xlnPHQ3TLX8,"What the??
Book of Life??"
xlnPHQ3TLX8,"This movie will be very similar to Lucasart's graphic adventure game.
Grim Fandango"
xlnPHQ3TLX8,my birthday
xlnPHQ3TLX8,Team Coco
xlnPHQ3TLX8,"PIXAR IS BACK , BABY!"
xlnPHQ3TLX8,Spirited Away??? Anybody? Bueller? Bueller???
xlnPHQ3TLX8,"I'm in LOVE WITH THE COCO.....

I'm LOVE WITH THE COCO..."
xlnPHQ3TLX8,The dog looks like a crackhead
xlnPHQ3TLX8,im really hyped
xlnPHQ3TLX8,The Svtfoe prequel looks great
xlnPHQ3TLX8,That a munch better trailer then the others don't u think?
xlnPHQ3TLX8,Any other LA architecture folks seeing the resemblance between 0:50 and The Bradbury Building?
xlnPHQ3TLX8,I was sure I already saw Book of Life
xlnPHQ3TLX8,AWW MAN YES IVE BEEN WAITING FOR THE BOOK OF LIFE 2!!
xlnPHQ3TLX8,"Gosh darnit, this looks really good."
xlnPHQ3TLX8,when ever there is a animated movie about death and the underworld it's always Mexicans. like I get it we have Dia de Los Muertos. but come on.
xlnPHQ3TLX8,looking good. could this get above 95% on rotten tomatoes? I think it could.
xlnPHQ3TLX8,"Why would Disney/Pixar ever need to put ""from the creators of ""? To remind everyone they're Disney/Pixar? 😂"
xlnPHQ3TLX8,quick look for sombra clues
xlnPHQ3TLX8,way to steal the book of life
xlnPHQ3TLX8,If Cars 3 had to happen so Coco could happen... I'm ok with that
xlnPHQ3TLX8,This movie stole Conans name
xlnPHQ3TLX8,it looks like mexican spirited away
xlnPHQ3TLX8,Glad to see Pixar finally producing original content again. 
xlnPHQ3TLX8,"I don't know whether this was a ripoff of the Book of Life or not, however, the plot is different, just similar worlds"
xlnPHQ3TLX8,My dog's name is Coco; what the heck?!
xlnPHQ3TLX8,"there are thousands of movies for other holidays with similar themes to each other (Christmas movies especially) and nobody cares, but when two animation studios both decide to make movies about Día de Los Muertos, everybody freaks out

Personally, I'm really excited to see this movie, I don't think it looks like a ""ripoff"" at all. Knowing Pixar, it might even be better than The Book of Life! (my opinion, just clarifying)"
xlnPHQ3TLX8,MIGUEL LOOKS JUST LIKE RILEY FROM INSIDE OUT
xlnPHQ3TLX8,"Main character looks a bit bland. His personality also seems bland, but it's a trailer. Premis is okay. Color and setting is pretty good.

But... it doesn't seem all too interesting because I'm not emotionally invested.

Argue with me, please."
xlnPHQ3TLX8,"I don't like sand.


oops wrong film"
xlnPHQ3TLX8,I like my coco with marshmallows.
xlnPHQ3TLX8,"I like how the selling point of this film is hispanic culture. Hispanic people are very special people, and I'm glad this movie is about them."
xlnPHQ3TLX8,Looks boring.
xlnPHQ3TLX8,"I think that this is a book of life rip off and so, like everyone else who shares my ideas should, I will not see this movie and move on. ✌"
xlnPHQ3TLX8,I'm really worried because this trailer had barely any views. Good dinosaur flop again?
xlnPHQ3TLX8,Amazing !!
xlnPHQ3TLX8,This is such a book of life rip off!
xlnPHQ3TLX8,"Now everybody forgot that a few years ago Disney tried to ""Copy Right"" the ancient tradition of the ""Día de muertos"" because of this movie. For me this is more closer to cultural appropiation instead a tribute to the pre-hispanic tradition."
xlnPHQ3TLX8,Just like the Book of Life
xlnPHQ3TLX8,more like Book Of Life
xlnPHQ3TLX8,They both play guitar they both find there family
xlnPHQ3TLX8,You stole this from the book of life Pixar
xlnPHQ3TLX8,I' mean it's alright but come on  not the best Pixar movie
xlnPHQ3TLX8,"Since Disney owns LucasArts now, I'm keeping an eye out for Grim Fandango cameos."
xlnPHQ3TLX8,Why do people want to see a movie that is just like The Book of Life
xlnPHQ3TLX8,A Great Idea for a movie !
xlnPHQ3TLX8,This looks interesting.
xlnPHQ3TLX8,"What doesn't matter, is that this movie is heavily inspired by The Book of Life. What does matter, is that it looks to be worse than The Book of Life. If you are gonna do something off, you better do what the other people did substantially better than they did. And considering how The Book of Life was unique in both its storytelling and animation, _and_ did its style well, Pixar has better nail this one straight on the head.


(P.S., nice job trying to hide how Coco's father was that famous musician, it's been blatantly obvious since the first trailer released)"
xlnPHQ3TLX8,Hmm how do u pronounce coco? Co co? Choco? Well I guess it doesn't matter! But the movie looks pretty worth watching
xlnPHQ3TLX8,"lol who else expected star wars music to start playing? no, just me?"
xlnPHQ3TLX8,Anybody else think disney is copyin g the Book of Life?
xlnPHQ3TLX8,they should of called it book of life 2
xlnPHQ3TLX8,IM IN LOVE WITH THE COCO!
xlnPHQ3TLX8,"One of my ancestors is Hellen Keller, and you said every year they come and *see* you."
xlnPHQ3TLX8,Pretty background designs!
xlnPHQ3TLX8,So Book of Life + Monsters Inc?
xlnPHQ3TLX8,"D'ya figure Disney-Pixar made a movie that centres around Mexican culture because of the current political climate? I think, if so, it's very honourable."
xlnPHQ3TLX8,saludos desde México me gusta como  están representando  el día de muertos con las catrinas ya las flores de sempasucil
xlnPHQ3TLX8,book f life ripoff
xlnPHQ3TLX8,1:20 when you forget to do your homework and your at school
xlnPHQ3TLX8,This is kinda like Kubo.
xlnPHQ3TLX8,"I'm extremely excited about this film!!! It was about time that Pixar made a movie about Mexico, yeah I know that ""Día de Muertos"" has been already portrayed in the Book of life film but the way it is presented here and the way it is portrayed in the previously mentioned film are somewhat different, as well as the whole ""why I got into the world if the death"" reasons, the book of life is a love story and Coco seems to be in a completely different concept, I must also recognize that the backgrounds as the ""Plaza"" and the graveyard are really accurated to the ones we got here in Mexico's small towns.
Pixar always makes great movies and I just can't wait for this one"
xlnPHQ3TLX8,its 90% book of life
xlnPHQ3TLX8,"OK, to everyone critisizing this film, Lee Unkrich pitched the idea in 2010!!! 3 years before there was even a ""Book of Life"" trailer!!!
Context matters in an argument."
xlnPHQ3TLX8,Team Coco?
xlnPHQ3TLX8,"is anyone going to point out that this movie seems to kinda remind of The Book of Life, you know, that movie that was directed by Guillermo del Toro, which is also about someone that went to the where the deseaced that are remember live and meets his family members while trying to get back to the living world?"
xlnPHQ3TLX8,"Weird or on point movie team selection depends where you from I guess, specially if you know that Disney is one  of the companies that advice president Trump. As usual just ignoring and using other cultures to sell, good job Disney."
xlnPHQ3TLX8,what a load of rubbish!
xlnPHQ3TLX8,"hey guys







book of life"
xlnPHQ3TLX8,"It might be very similar to Book of Life in some ways, but it still looks really cute! 😀"
xlnPHQ3TLX8,"hmmm taking all the similarities to other movie aside, do they know that coco is a name similar to the boogeyman? (well also the diminutive of Socorro)."
xlnPHQ3TLX8,Disney movie about selling white
xlnPHQ3TLX8,"I swear to god if this is better than the Book of Life, critics are idiots"
xlnPHQ3TLX8,Why does that dog have 20 chins?
xlnPHQ3TLX8,"i love how if you search for this, the next result down is OT genasis 😂😂

WHIP IT
WHIP IT"
xlnPHQ3TLX8,"I dont know why, but Cant wait to watch this!!!!!! Im in love with COCO!!! 😍😍😍😍😍😍😍"
xlnPHQ3TLX8,can't wait to go watch it! #Coco
xlnPHQ3TLX8,Pixar is the best.
xlnPHQ3TLX8,That jaw drop was lol
xlnPHQ3TLX8,Rip off of the book of life
xlnPHQ3TLX8,Spirited away meets Book of life
xlnPHQ3TLX8,Anybody knows the name of the song????
xlnPHQ3TLX8,i'm proud be mexican
xlnPHQ3TLX8,Who else came here to see what people had to say about this movie and the book of life?
xlnPHQ3TLX8,you are no fun anymore
xlnPHQ3TLX8,Trump will be 0%.
xlnPHQ3TLX8,"I'm not gonna say Ripoff, i like Book of Life & Coco."
xlnPHQ3TLX8,"He estado aprendiendo español por casí seis meses. Mis clases de español de colegio me enseñan el español de España, pero me gusta el español de México más. No puedo esperar ver este en el cine. Me encanta la cultura de México mucho."
xlnPHQ3TLX8,teaser is better
xlnPHQ3TLX8,Bruh it's like the book of life
xlnPHQ3TLX8,"I mean I'm a huge Pixar fan, and I understand that Pixar announced the production years ago, but couldn't they have made the plot line different. They knew the book of life was coming out and from what I can tell, its almost the exact same thing. they even have a short grandpa with a mustache"
xlnPHQ3TLX8,"this is practically the same thing as""the book of life"""
xlnPHQ3TLX8,I Wonder how this will fit in the Pixar theory?
xlnPHQ3TLX8,Oh no it looks good. I don't want it to be. I really hate that Pixar is turning to magic (Brave) and Spiritism (Coco). I miss the old Pixar
xlnPHQ3TLX8,Guys. This was in production way before The Book of Life came out so it's not ripping it off. Chill and try to enjoy it.
xlnPHQ3TLX8,Am I the only one that is disturbed by the skeletons having lips?
xlnPHQ3TLX8,Now entering Dorado
xlnPHQ3TLX8,Grim Fandango the movie
xlnPHQ3TLX8,:0
xlnPHQ3TLX8,like si veniste  por ke ba ser inspirada por México :v
xlnPHQ3TLX8,Book of Life sequel? 😁
xlnPHQ3TLX8,i can tell this is going to be good
xlnPHQ3TLX8,Trump's version of hell
xlnPHQ3TLX8,That last scene was...jaw dropping.
xlnPHQ3TLX8,"I liked it better when it was called ""The Book Of Life"""
xlnPHQ3TLX8,We still wating on dat Mexican princess (an offical Mexican Princess) 😒
xlnPHQ3TLX8,"THIS IS A COPY OF THE ""book of life"" but Disney style"
xlnPHQ3TLX8,This looks really good in my opinion
xlnPHQ3TLX8,Conan O' Brien needs his shares from this movie
xlnPHQ3TLX8,"Wait, so why is it called COCO?"
xlnPHQ3TLX8,people revolt from trump by making Mexicans almost everywhere on media
xlnPHQ3TLX8,MY HEART IS READY
xlnPHQ3TLX8,They need to make Grim Fandango a movie
xlnPHQ3TLX8,What a beautiful looking movie :D
